序号	司龄	年龄	性别	最高学历	岗位类别	岗位层级
227	A	C	B	D	H	I
228	A	C	B	C	F	G
229	A	C	B	C	F	G
230	E	E	B	B	B	F
231	B	C	B	B	E	E
232	C	D	A	B	E	F
233	B	C	A	C	E	G
234	A	C	A	B	E	D
235	A	C	A	B	A	D
236	A	C	A	B	D	D
237	A	B	A	C	E	F
238	C	C	A	B	F	F
239	B	B	A	D	F	I
240	B	C	B	B	E	E
241	A	C	A	B	A	D
242	A	C	B	C	F	G
243	A	C	B	B	F	F
244	A	B	B	C	C	G
245	A	C	B	C	C	E
246	C	C	A	B	E	E
247	C	D	A	B	E	E
248	B	C	A	C	E	E
249	A	C	A	C	E	F
250	B	C	A	B	E	G
251	B	C	A	C	E	G
252	C	C	A	B	E	E
253	B	C	B	B	A	E
254	A	A	B	D	G	H
255	A	C	A	C	E	G
256	B	C	A	B	E	F
257	A	B	B	B	C	G
258	B	C	A	B	E	E
259	B	C	A	B	F	F
260	B	C	A	B	F	D
261	B	C	B	B	B	F
262	B	C	A	B	A	D
263	A	B	A	D	F	G
264	A	C	A	C	A	G
265	A	C	A	C	E	G
266	A	B	A	D	H	I
267	C	C	A	B	B	F
268	C	D	B	B	C	F
269	A	A	A	C	B	D
270	A	B	A	B	A	G
271	A	C	A	D	E	G
272	B	C	A	D	B	G
273	A	C	A	C	B	G
274	A	C	A	C	B	G
275	A	C	A	C	B	G
276	A	B	A	C	B	E
277	A	B	A	D	B	G
278	A	C	A	C	E	G
279	B	C	A	C	F	D
280	A	C	B	C	B	G
281	A	C	A	B	F	G
282	A	B	A	D	E	G
283	A	B	A	D	E	G
284	A	C	A	C	B	G
285	A	C	B	B	A	G
286	B	C	A	B	B	E
287	A	C	B	C	B	G
288	B	C	A	B	E	F
289	A	C	A	C	B	G
290	A	C	B	B	B	G
291	A	B	A	D	E	G
292	B	C	A	C	E	G
293	B	C	A	C	E	G
294	A	B	A	D	B	G
295	A	B	A	D	B	G
296	A	A	A	D	E	G
297	B	B	B	C	B	G
298	B	C	B	D	B	C
299	B	C	B	C	B	C
300	C	D	B	B	B	G
301	A	C	B	C	B	G
302	A	C	B	B	B	G
303	A	B	B	C	B	G
304	B	B	B	C	A	G
305	A	B	B	C	A	G
306	A	C	B	C	B	G
307	A	C	B	C	B	G
308	A	A	A	B	B	G
309	B	C	B	C	B	G
310	A	C	B	B	B	G
311	A	C	B	C	B	G
312	B	C	B	C	B	G
313	A	C	B	B	B	G
314	A	C	B	C	B	C
315	A	C	B	C	B	G
316	A	B	B	C	B	G
317	A	C	B	B	C	D
318	B	C	B	C	F	F
319	A	B	A	B	F	E
320	A	B	A	D	F	F
321	A	C	A	B	F	G
322	A	B	B	B	F	E
323	A	B	B	C	E	G
324	C	D	A	B	E	G
325	A	C	B	B	F	F
326	A	B	A	C	B	G
327	B	C	A	B	A	E
328	A	B	A	D	F	G
329	A	B	A	B	B	E
330	A	B	A	D	H	I
331	B	C	A	B	E	E
332	B	C	B	B	E	E
333	A	C	B	C	B	G
334	A	B	B	B	C	F
335	A	C	B	C	B	E
336	B	C	B	B	A	E
337	B	C	B	C	F	F
338	B	C	A	C	E	E
339	D	D	A	B	E	F
340	B	C	A	B	C	F
341	A	B	A	B	F	C
342	A	C	A	C	F	D
343	A	B	A	C	D	E
344	B	C	A	B	E	D
345	A	C	B	C	F	G
346	A	B	B	C	C	G
347	C	D	B	B	E	G
348	A	B	A	D	B	G
349	B	C	A	B	B	G
350	A	C	A	B	E	G
351	A	B	A	B	A	C
352	A	B	A	C	E	G
353	A	B	A	D	E	G
354	B	C	A	B	C	D
355	A	C	A	D	E	G
356	B	C	B	B	B	E
357	A	B	B	C	B	F
358	A	C	A	B	E	G
359	A	B	A	C	H	G
360	A	C	B	C	B	F
361	A	B	A	C	B	E
362	A	B	A	D	B	G
363	B	C	A	C	B	G
364	B	C	A	B	B	F
365	A	B	A	D	E	G
366	A	C	A	D	E	G
367	A	C	A	B	A	D
368	C	C	A	B	C	F
369	B	C	A	C	E	G
370	B	C	A	C	B	G
371	A	B	A	D	B	G
372	A	C	A	C	E	G
373	B	C	A	B	B	F
374	A	C	A	D	B	G
375	A	C	A	C	B	G
376	B	C	A	C	B	G
377	A	B	A	C	A	G
378	B	C	A	D	E	G
379	B	C	A	C	E	G
